body,review_sentiment
"We purchased this vacuum robot a few days back, as soon as the delivery was completed we were contacted by ILIFE team to schedule the demo, we had to postpone the demo a couple of times, they accomodated our request for a Sunday. The demo was given by Mr.SUMITH over Google Meet, he did an excellent job in going through all the features of the robot and the app, even though the map creation took longer than expected he was online in the call to explain the menus which could be used only with a map. Overall we are very satisfied with this initial interaction with ILIFE team, I will update this review after using the robot for some time.",Positive
We have been using it for a few months now. Great robovac. Works good with pet hair as well.,Positive
Using since 3 months ... quality was good and the performance was great.. Easy to clean up and picks up minute distance particles incl baby hair....Efficient and time saving for day to day cleaning......,Positive
This robot is great for indian house hold this robot has a good demo service which I have found good,Positive
So far so good- Thanks to Ms Deepthi from customer care for the assistance rendered through WhatsApp.,Positive
Excellent Product ... I bought it few months back. Working very good. I have not seen any issues till date. Highly Recommended.,Positive
The Product is very poor and there is no support from the company if we are reaching out for issues Never buy this product,Negative
"Totally worth the money. Easy to use, with good service and effective floor cleaning.",Positive
"It's the initial product review, will update after 6months. Pros I have noticed so far are below : Picks up dust precisely and efficiently Value for money so far Battery life is sufficient for one time to cover 1550sqft does deep cleaning in every aspect Ease of use Accuracy is amazing also the zonal configuration is amazing",Positive
Demo complete by rohit Thank you rohit demo also on time thanks to ilife Demo is good thank you ilife,Positive
"We purchased this vacuum robot a few days back, as soon as the delivery was completed we were contacted by ILIFE team to schedule the demo, we had to postpone the demo a couple of times, they accomodated our request for a Sunday. The demo was given by Mr.SUMITH over Google Meet, he did an excellent job in going through all the features of the robot and the app, even though the map creation took longer than expected he was online in the call to explain the menus which could be used only with a map. Overall we are very satisfied with this initial interaction with ILIFE team, I will update this review after using the robot for some time.",Positive
We have been using it for a few months now. Great robovac. Works good with pet hair as well.,Positive
Using since 3 months ... quality was good and the performance was great.. Easy to clean up and picks up minute distance particles incl baby hair....Efficient and time saving for day to day cleaning......,Positive
This robot is great for indian house hold this robot has a good demo service which I have found good,Positive
So far so good- Thanks to Ms Deepthi from customer care for the assistance rendered through WhatsApp.,Positive
Excellent Product ... I bought it few months back. Working very good. I have not seen any issues till date. Highly Recommended.,Positive
The Product is very poor and there is no support from the company if we are reaching out for issues Never buy this product,Negative
"Totally worth the money. Easy to use, with good service and effective floor cleaning.",Positive
"It's the initial product review, will update after 6months. Pros I have noticed so far are below : Picks up dust precisely and efficiently Value for money so far Battery life is sufficient for one time to cover 1550sqft does deep cleaning in every aspect Ease of use Accuracy is amazing also the zonal configuration is amazing",Positive
Demo complete by rohit Thank you rohit demo also on time thanks to ilife Demo is good thank you ilife,Positive
"We purchased this vacuum robot a few days back, as soon as the delivery was completed we were contacted by ILIFE team to schedule the demo, we had to postpone the demo a couple of times, they accomodated our request for a Sunday. The demo was given by Mr.SUMITH over Google Meet, he did an excellent job in going through all the features of the robot and the app, even though the map creation took longer than expected he was online in the call to explain the menus which could be used only with a map. Overall we are very satisfied with this initial interaction with ILIFE team, I will update this review after using the robot for some time.",Positive
We have been using it for a few months now. Great robovac. Works good with pet hair as well.,Positive
Using since 3 months ... quality was good and the performance was great.. Easy to clean up and picks up minute distance particles incl baby hair....Efficient and time saving for day to day cleaning......,Positive
This robot is great for indian house hold this robot has a good demo service which I have found good,Positive
So far so good- Thanks to Ms Deepthi from customer care for the assistance rendered through WhatsApp.,Positive
Excellent Product ... I bought it few months back. Working very good. I have not seen any issues till date. Highly Recommended.,Positive
The Product is very poor and there is no support from the company if we are reaching out for issues Never buy this product,Negative
"Totally worth the money. Easy to use, with good service and effective floor cleaning.",Positive
"It's the initial product review, will update after 6months. Pros I have noticed so far are below : Picks up dust precisely and efficiently Value for money so far Battery life is sufficient for one time to cover 1550sqft does deep cleaning in every aspect Ease of use Accuracy is amazing also the zonal configuration is amazing",Positive
Demo complete by rohit Thank you rohit demo also on time thanks to ilife Demo is good thank you ilife,Positive
"We purchased this vacuum robot a few days back, as soon as the delivery was completed we were contacted by ILIFE team to schedule the demo, we had to postpone the demo a couple of times, they accomodated our request for a Sunday. The demo was given by Mr.SUMITH over Google Meet, he did an excellent job in going through all the features of the robot and the app, even though the map creation took longer than expected he was online in the call to explain the menus which could be used only with a map. Overall we are very satisfied with this initial interaction with ILIFE team, I will update this review after using the robot for some time.",Positive
We have been using it for a few months now. Great robovac. Works good with pet hair as well.,Positive
Using since 3 months ... quality was good and the performance was great.. Easy to clean up and picks up minute distance particles incl baby hair....Efficient and time saving for day to day cleaning......,Positive
This robot is great for indian house hold this robot has a good demo service which I have found good,Positive
So far so good- Thanks to Ms Deepthi from customer care for the assistance rendered through WhatsApp.,Positive
Excellent Product ... I bought it few months back. Working very good. I have not seen any issues till date. Highly Recommended.,Positive
The Product is very poor and there is no support from the company if we are reaching out for issues Never buy this product,Negative
"Totally worth the money. Easy to use, with good service and effective floor cleaning.",Positive
"It's the initial product review, will update after 6months. Pros I have noticed so far are below : Picks up dust precisely and efficiently Value for money so far Battery life is sufficient for one time to cover 1550sqft does deep cleaning in every aspect Ease of use Accuracy is amazing also the zonal configuration is amazing",Positive
Demo complete by rohit Thank you rohit demo also on time thanks to ilife Demo is good thank you ilife,Positive
"We purchased this vacuum robot a few days back, as soon as the delivery was completed we were contacted by ILIFE team to schedule the demo, we had to postpone the demo a couple of times, they accomodated our request for a Sunday. The demo was given by Mr.SUMITH over Google Meet, he did an excellent job in going through all the features of the robot and the app, even though the map creation took longer than expected he was online in the call to explain the menus which could be used only with a map. Overall we are very satisfied with this initial interaction with ILIFE team, I will update this review after using the robot for some time.",Positive
We have been using it for a few months now. Great robovac. Works good with pet hair as well.,Positive
Using since 3 months ... quality was good and the performance was great.. Easy to clean up and picks up minute distance particles incl baby hair....Efficient and time saving for day to day cleaning......,Positive
This robot is great for indian house hold this robot has a good demo service which I have found good,Positive
So far so good- Thanks to Ms Deepthi from customer care for the assistance rendered through WhatsApp.,Positive
Excellent Product ... I bought it few months back. Working very good. I have not seen any issues till date. Highly Recommended.,Positive
The Product is very poor and there is no support from the company if we are reaching out for issues Never buy this product,Negative
"Totally worth the money. Easy to use, with good service and effective floor cleaning.",Positive
