title,rating,author,date,body
5.0 out of 5 starsReview of the demo from product support team,5.0,Ramnarayanan G,Reviewed in India on 4 January 2026,"We purchased this vacuum robot a few days back, as soon as the delivery was completed we were contacted by ILIFE team to schedule the demo, we had to postpone the demo a couple of times, they accomodated our request for a Sunday. The demo was given by Mr.SUMITH over Google Meet, he did an excellent job in going through all the features of the robot and the app, even though the map creation took longer than expected he was online in the call to explain the menus which could be used only with a map. Overall we are very satisfied with this initial interaction with ILIFE team, I will update this review after using the robot for some time."
5.0 out of 5 starsGreat robovac for the price,5.0,JR,Reviewed in India on 4 January 2026,We have been using it for a few months now. Great robovac. Works good with pet hair as well.
4.0 out of 5 starsHassle free and efficient,4.0,Harsha,Reviewed in India on 4 January 2026,Using since 3 months ... quality was good and the performance was great.. Easy to clean up and picks up minute distance particles incl baby hair....Efficient and time saving for day to day cleaning......
5.0 out of 5 starsDemo service is good,5.0,RAMESH Kamaliya,Reviewed in India on 4 January 2026,This robot is great for indian house hold this robot has a good demo service which I have found good
5.0 out of 5 starsGood product- value for money,5.0,Amazon Customer,Reviewed in India on 3 January 2026,So far so good- Thanks to Ms Deepthi from customer care for the assistance rendered through WhatsApp.
5.0 out of 5 starsExcellent Product,5.0,Kalyandhar,Reviewed in India on 3 January 2026,Excellent Product ... I bought it few months back. Working very good. I have not seen any issues till date. Highly Recommended.
1.0 out of 5 starsNever Buy,1.0,Swaminathan.M,Reviewed in India on 3 January 2026,The Product is very poor and there is no support from the company if we are reaching out for issues Never buy this product
5.0 out of 5 starsGood service,5.0,Harshit,Reviewed in India on 3 January 2026,"Totally worth the money. Easy to use, with good service and effective floor cleaning."
5.0 out of 5 starsWorth the money,5.0,anupama,Reviewed in India on 5 January 2026,"It's the initial product review, will update after 6months. Pros I have noticed so far are below : Picks up dust precisely and efficiently Value for money so far Battery life is sufficient for one time to cover 1550sqft does deep cleaning in every aspect Ease of use Accuracy is amazing also the zonal configuration is amazing"
5.0 out of 5 starsDemo,5.0,Amazon Customer,Reviewed in India on 5 January 2026,Demo complete by rohit Thank you rohit demo also on time thanks to ilife Demo is good thank you ilife
5.0 out of 5 starsReview of the demo from product support team,5.0,Ramnarayanan G,Reviewed in India on 4 January 2026,"We purchased this vacuum robot a few days back, as soon as the delivery was completed we were contacted by ILIFE team to schedule the demo, we had to postpone the demo a couple of times, they accomodated our request for a Sunday. The demo was given by Mr.SUMITH over Google Meet, he did an excellent job in going through all the features of the robot and the app, even though the map creation took longer than expected he was online in the call to explain the menus which could be used only with a map. Overall we are very satisfied with this initial interaction with ILIFE team, I will update this review after using the robot for some time."
5.0 out of 5 starsGreat robovac for the price,5.0,JR,Reviewed in India on 4 January 2026,We have been using it for a few months now. Great robovac. Works good with pet hair as well.
4.0 out of 5 starsHassle free and efficient,4.0,Harsha,Reviewed in India on 4 January 2026,Using since 3 months ... quality was good and the performance was great.. Easy to clean up and picks up minute distance particles incl baby hair....Efficient and time saving for day to day cleaning......
5.0 out of 5 starsDemo service is good,5.0,RAMESH Kamaliya,Reviewed in India on 4 January 2026,This robot is great for indian house hold this robot has a good demo service which I have found good
5.0 out of 5 starsGood product- value for money,5.0,Amazon Customer,Reviewed in India on 3 January 2026,So far so good- Thanks to Ms Deepthi from customer care for the assistance rendered through WhatsApp.
5.0 out of 5 starsExcellent Product,5.0,Kalyandhar,Reviewed in India on 3 January 2026,Excellent Product ... I bought it few months back. Working very good. I have not seen any issues till date. Highly Recommended.
1.0 out of 5 starsNever Buy,1.0,Swaminathan.M,Reviewed in India on 3 January 2026,The Product is very poor and there is no support from the company if we are reaching out for issues Never buy this product
5.0 out of 5 starsGood service,5.0,Harshit,Reviewed in India on 3 January 2026,"Totally worth the money. Easy to use, with good service and effective floor cleaning."
5.0 out of 5 starsWorth the money,5.0,anupama,Reviewed in India on 5 January 2026,"It's the initial product review, will update after 6months. Pros I have noticed so far are below : Picks up dust precisely and efficiently Value for money so far Battery life is sufficient for one time to cover 1550sqft does deep cleaning in every aspect Ease of use Accuracy is amazing also the zonal configuration is amazing"
5.0 out of 5 starsDemo,5.0,Amazon Customer,Reviewed in India on 5 January 2026,Demo complete by rohit Thank you rohit demo also on time thanks to ilife Demo is good thank you ilife
5.0 out of 5 starsReview of the demo from product support team,5.0,Ramnarayanan G,Reviewed in India on 4 January 2026,"We purchased this vacuum robot a few days back, as soon as the delivery was completed we were contacted by ILIFE team to schedule the demo, we had to postpone the demo a couple of times, they accomodated our request for a Sunday. The demo was given by Mr.SUMITH over Google Meet, he did an excellent job in going through all the features of the robot and the app, even though the map creation took longer than expected he was online in the call to explain the menus which could be used only with a map. Overall we are very satisfied with this initial interaction with ILIFE team, I will update this review after using the robot for some time."
5.0 out of 5 starsGreat robovac for the price,5.0,JR,Reviewed in India on 4 January 2026,We have been using it for a few months now. Great robovac. Works good with pet hair as well.
4.0 out of 5 starsHassle free and efficient,4.0,Harsha,Reviewed in India on 4 January 2026,Using since 3 months ... quality was good and the performance was great.. Easy to clean up and picks up minute distance particles incl baby hair....Efficient and time saving for day to day cleaning......
5.0 out of 5 starsDemo service is good,5.0,RAMESH Kamaliya,Reviewed in India on 4 January 2026,This robot is great for indian house hold this robot has a good demo service which I have found good
5.0 out of 5 starsGood product- value for money,5.0,Amazon Customer,Reviewed in India on 3 January 2026,So far so good- Thanks to Ms Deepthi from customer care for the assistance rendered through WhatsApp.
5.0 out of 5 starsExcellent Product,5.0,Kalyandhar,Reviewed in India on 3 January 2026,Excellent Product ... I bought it few months back. Working very good. I have not seen any issues till date. Highly Recommended.
1.0 out of 5 starsNever Buy,1.0,Swaminathan.M,Reviewed in India on 3 January 2026,The Product is very poor and there is no support from the company if we are reaching out for issues Never buy this product
5.0 out of 5 starsGood service,5.0,Harshit,Reviewed in India on 3 January 2026,"Totally worth the money. Easy to use, with good service and effective floor cleaning."
5.0 out of 5 starsWorth the money,5.0,anupama,Reviewed in India on 5 January 2026,"It's the initial product review, will update after 6months. Pros I have noticed so far are below : Picks up dust precisely and efficiently Value for money so far Battery life is sufficient for one time to cover 1550sqft does deep cleaning in every aspect Ease of use Accuracy is amazing also the zonal configuration is amazing"
5.0 out of 5 starsDemo,5.0,Amazon Customer,Reviewed in India on 5 January 2026,Demo complete by rohit Thank you rohit demo also on time thanks to ilife Demo is good thank you ilife
5.0 out of 5 starsReview of the demo from product support team,5.0,Ramnarayanan G,Reviewed in India on 4 January 2026,"We purchased this vacuum robot a few days back, as soon as the delivery was completed we were contacted by ILIFE team to schedule the demo, we had to postpone the demo a couple of times, they accomodated our request for a Sunday. The demo was given by Mr.SUMITH over Google Meet, he did an excellent job in going through all the features of the robot and the app, even though the map creation took longer than expected he was online in the call to explain the menus which could be used only with a map. Overall we are very satisfied with this initial interaction with ILIFE team, I will update this review after using the robot for some time."
5.0 out of 5 starsGreat robovac for the price,5.0,JR,Reviewed in India on 4 January 2026,We have been using it for a few months now. Great robovac. Works good with pet hair as well.
4.0 out of 5 starsHassle free and efficient,4.0,Harsha,Reviewed in India on 4 January 2026,Using since 3 months ... quality was good and the performance was great.. Easy to clean up and picks up minute distance particles incl baby hair....Efficient and time saving for day to day cleaning......
5.0 out of 5 starsDemo service is good,5.0,RAMESH Kamaliya,Reviewed in India on 4 January 2026,This robot is great for indian house hold this robot has a good demo service which I have found good
5.0 out of 5 starsGood product- value for money,5.0,Amazon Customer,Reviewed in India on 3 January 2026,So far so good- Thanks to Ms Deepthi from customer care for the assistance rendered through WhatsApp.
5.0 out of 5 starsExcellent Product,5.0,Kalyandhar,Reviewed in India on 3 January 2026,Excellent Product ... I bought it few months back. Working very good. I have not seen any issues till date. Highly Recommended.
1.0 out of 5 starsNever Buy,1.0,Swaminathan.M,Reviewed in India on 3 January 2026,The Product is very poor and there is no support from the company if we are reaching out for issues Never buy this product
5.0 out of 5 starsGood service,5.0,Harshit,Reviewed in India on 3 January 2026,"Totally worth the money. Easy to use, with good service and effective floor cleaning."
5.0 out of 5 starsWorth the money,5.0,anupama,Reviewed in India on 5 January 2026,"It's the initial product review, will update after 6months. Pros I have noticed so far are below : Picks up dust precisely and efficiently Value for money so far Battery life is sufficient for one time to cover 1550sqft does deep cleaning in every aspect Ease of use Accuracy is amazing also the zonal configuration is amazing"
5.0 out of 5 starsDemo,5.0,Amazon Customer,Reviewed in India on 5 January 2026,Demo complete by rohit Thank you rohit demo also on time thanks to ilife Demo is good thank you ilife
5.0 out of 5 starsReview of the demo from product support team,5.0,Ramnarayanan G,Reviewed in India on 4 January 2026,"We purchased this vacuum robot a few days back, as soon as the delivery was completed we were contacted by ILIFE team to schedule the demo, we had to postpone the demo a couple of times, they accomodated our request for a Sunday. The demo was given by Mr.SUMITH over Google Meet, he did an excellent job in going through all the features of the robot and the app, even though the map creation took longer than expected he was online in the call to explain the menus which could be used only with a map. Overall we are very satisfied with this initial interaction with ILIFE team, I will update this review after using the robot for some time."
5.0 out of 5 starsGreat robovac for the price,5.0,JR,Reviewed in India on 4 January 2026,We have been using it for a few months now. Great robovac. Works good with pet hair as well.
4.0 out of 5 starsHassle free and efficient,4.0,Harsha,Reviewed in India on 4 January 2026,Using since 3 months ... quality was good and the performance was great.. Easy to clean up and picks up minute distance particles incl baby hair....Efficient and time saving for day to day cleaning......
5.0 out of 5 starsDemo service is good,5.0,RAMESH Kamaliya,Reviewed in India on 4 January 2026,This robot is great for indian house hold this robot has a good demo service which I have found good
5.0 out of 5 starsGood product- value for money,5.0,Amazon Customer,Reviewed in India on 3 January 2026,So far so good- Thanks to Ms Deepthi from customer care for the assistance rendered through WhatsApp.
5.0 out of 5 starsExcellent Product,5.0,Kalyandhar,Reviewed in India on 3 January 2026,Excellent Product ... I bought it few months back. Working very good. I have not seen any issues till date. Highly Recommended.
1.0 out of 5 starsNever Buy,1.0,Swaminathan.M,Reviewed in India on 3 January 2026,The Product is very poor and there is no support from the company if we are reaching out for issues Never buy this product
5.0 out of 5 starsGood service,5.0,Harshit,Reviewed in India on 3 January 2026,"Totally worth the money. Easy to use, with good service and effective floor cleaning."
